state,lga,postcode,facility
Abia,"Aba South",450002,"Ngwa Rd"
Abia,"Aba South",450001,Aba
Abia,Arochukwu,442003,Ihechiowa
Abia,Arochukwu,442001,Arochukwu
Abia,Arochukwu,442002,Ozuabam
Abia,Bende,441008,Uzuakoli
Abia,Bende,441013,Ozuitem
Abia,Bende,440021,Item
Abia,Bende,441012,Igbere
Abia,Bende,441011,Bende
Abia,Bende,410010,Alayi
Abia,Ikwuano,440007,Oboro
Abia,Ikwuano,440006,Ariam
Abia,Ikwuano,440014,Oloko
Abia,"Isiala Ngwa South",451004,Umuosu
Abia,"Isiala Ngwa South",451003,Owerrinta
Abia,"Isiala Ngwa South",451002,Omoba
Abia,"Isiala Ngwa South",440008,"Okpuala Ngwa"
Abia,"Isiala Ngwa South",451001,Nbawsi
Abia,"Isiala Ngwa South",440001,GPO
Abia,"Isiala Ngwa South",452001,"Amapu Ntigha"
Abia,Isukwuato,441002,Ovim
Abia,Isukwuato,443005,Eluama
Abia,Ohafia,443005,Ohafia
Abia,Ohafia,443003,Ohafia
Abia,Ohafia,443004,Ania
Abia,Ohafia,443001,Abiriba
Abia,Osisioma,450003,umungasi
Abia,"Ukwa West",452001,"Imo River"
Abia,"Umuahia North",440015,"N  Okaniuga"
Abia,"Umuahia North",440003,Umuahia
Abia,"Umuahia North",440004,"Ameke Ibeku"
Abia,"Umuahia North",440112,Afugiri
Abia,"Umuahia South",440005,Ekenobizi
Abia,"Umuahia South",440009,Ubakala
Abia,"Umuahia South",440010,Olokoro
Abia,"Umuahia South",440002,"Old Umuahia"
Adamawa,Demsa,642004,Demsa
Adamawa,Demsa,642005,Borrong
Adamawa,Fufure,640107,Fufore
Adamawa,Ganye,641001,Ganye
Adamawa,Girei,652005,FUT
Adamawa,Gombi,652001,Gombi
Adamawa,Guyuk,643001,Guyuk
Adamawa,Hong,650002,Hong
Adamawa,Jada,641003,Jada
Adamawa,Lamurde,642002,Lamurde
Adamawa,"Mayo Belwa",641002,"Mayo Belwa"
Adamawa,"Mubi South",650001,Mubi
Adamawa,Numan,642001,Numan
Adamawa,Shelleng,643002,Shelleng
Adamawa,Song,652001,Dumne
Adamawa,"Yola North",640001,GPO
Adamawa,"Yola South",640002,"Yola town"
"Akwa Ibom",Abak,532001,Abak
"Akwa Ibom",Eket,524001,Eket
"Akwa Ibom",Etinan,522007,Mbioto
"Akwa Ibom",Etinan,522001,Etinan
